date,Price,,
2017-03-30,5030,,
2017-03-29,4970,,
2017-03-28,4980,,
2017-03-27,5020,,
2017-03-26,5090,,
2017-03-25,5050,,
2017-03-24,5040,,
2017-03-23,5020,,
2017-03-22,5040,,
2017-03-21,5090,,
2017-03-20,5100,,
2017-03-19,5190,,
2017-03-18,5090,,
2017-03-17,5090,,
2017-03-16,5230,,
2017-03-15,5090,,
2017-03-14,5180,,
2017-03-13,5110,,
2017-03-12,5080,,
2017-03-11,5060,,
2017-03-10,4960,,
2017-03-09,4830,,
2017-03-08,5030,,
2017-03-07,5070,,
2017-03-06,5030,,
2017-03-05,5080,,
2017-03-04,5060,,
2017-03-03,5130,,
2017-03-02,5240,,
2017-03-01,5260,,
2017-02-28,4980,,
2017-02-27,4930,,
2017-02-26,4920,,
2017-02-25,4940,,
2017-02-24,4880,,
2017-02-23,4820,,
2017-02-22,4840,,
2017-02-21,4820,,
2017-02-20,4780,,
2017-02-19,4900,,
2017-02-18,4960,,
2017-02-17,4870,,
2017-02-16,4850,,
2017-02-15,4800,,
2017-02-14,4770,,
2017-02-13,4850,,
2017-02-12,4840,,
2017-02-11,4850,,
2017-02-10,4640,,
2017-02-09,4440,,
2017-02-08,4430,,
2017-02-07,4580,,
2017-02-06,4660,,
2017-02-05,4650,,
2017-02-04,4730,,
2017-02-03,4790,,
2017-02-02,4700,,
2017-02-01,4830,,
2017-01-31,4800,,
2017-01-30,4840,,
2017-01-29,4860,,
2017-01-28,4880,,
2017-01-27,4890,,
2017-01-26,4820,,
2017-01-25,4820,,
2017-01-24,4790,,
2017-01-23,4800,,
2017-01-22,4810,,
2017-01-21,4750,,
2017-01-20,4650,,
2017-01-19,4730,,
2017-01-18,4730,,
2017-01-17,4700,,
2017-01-16,4750,,
2017-01-15,4820,,
2017-01-14,4780,,
2017-01-13,4770,,
2017-01-12,4880,,
2017-01-11,4840,,
2017-01-10,4810,,
2017-01-09,4750,,
2017-01-08,4780,,
2017-01-07,4770,,
2017-01-06,4990,,
2017-01-05,4970,,
2017-01-04,5160,,
2017-01-03,5120,,
2017-01-02,5260,,
2017-01-01,5060,,
2016-12-31,5110,,
2016-12-30,5100,,
2016-12-29,5240,,
2016-12-28,5180,,
2016-12-27,4920,,
2016-12-26,5080,,
2016-12-25,5370,,
2016-12-24,5090,,
2016-12-23,4970,,
2016-12-22,4920,,
2016-12-21,4680,,
2016-12-20,4690,,
2016-12-19,4570,,
2016-12-18,4620,,
2016-12-17,4500,,
2016-12-16,4730,,
2016-12-15,4690,,
2016-12-14,4760,,
2016-12-13,4740,,
2016-12-12,4720,,
2016-12-11,4680,,
2016-12-10,4770,,
2016-12-09,4570,,
2016-12-08,4500,,
2016-12-07,4650,,
2016-12-06,4590,,
2016-12-05,4550,,
2016-12-04,4350,,
2016-12-03,4480,,
2016-12-02,4530,,
2016-12-01,4530,,
2016-11-30,4580,,
2016-11-29,4610,,
2016-11-28,4810,,
2016-11-27,4570,,
2016-11-26,4620,,
2016-11-25,4590,,
2016-11-24,4660,,
2016-11-23,4730,,
2016-11-22,4790,,
2016-11-21,4760,,
2016-11-20,4700,,
2016-11-19,4810,,
2016-11-18,4790,,
2016-11-17,4890,,
2016-11-16,4870,,
2016-11-15,5020,,
2016-11-14,4920,,
2016-11-13,4940,,
2016-11-12,4950,,
2016-11-11,5000,,
2016-11-10,4850,,
2016-11-09,5160,,
2016-11-08,5080,,
2016-11-07,5130,,
2016-11-06,5190,,
2016-11-05,5260,,
2016-11-04,5140,,
2016-11-03,5170,,
2016-11-02,5220,,
2016-11-01,5360,,
2016-10-31,5300,,
2016-10-30,5400,,
2016-10-29,5390,,
2016-10-28,5230,,
2016-10-27,5250,,
2016-10-26,5000,,
2016-10-25,5010,,
2016-10-24,4950,,
2016-10-23,5000,,
2016-10-22,4880,,
2016-10-21,5030,,
2016-10-20,5110,,
2016-10-19,5270,,
2016-10-18,5060,,
2016-10-17,5200,,
2016-10-16,5190,,
2016-10-15,5220,,
2016-10-14,5210,,
2016-10-13,5370,,
2016-10-12,5440,,
2016-10-11,5620,,
2016-10-10,5740,,
2016-10-09,5590,,
2016-10-08,5540,,
2016-10-07,5630,,
2016-10-06,5480,,
2016-10-05,5600,,
2016-10-04,5620,,
2016-10-03,5670,,
2016-10-02,5870,,
2016-10-01,5910,,
2016-09-30,5960,,
2016-09-29,5860,,
2016-09-28,5730,,
2016-09-27,5350,,
2016-09-26,5300,,
2016-09-25,5810,,
2016-09-24,5810,,
2016-09-23,5780,,
2016-09-22,6000,,
2016-09-21,5840,,
2016-09-20,5930,,
2016-09-19,6110,,
2016-09-18,6210,,
2016-09-17,6140,,
2016-09-16,6070,,
2016-09-15,6340,,
2016-09-14,6410,,
2016-09-13,6180,,
2016-09-12,6000,,
2016-09-11,6040,,
2016-09-10,6020,,
2016-09-09,5920,,
2016-09-08,6090,,
2016-09-07,5920,,
2016-09-06,5810,,
2016-09-05,5830,,
2016-09-04,6210,,
2016-09-03,6340,,
2016-09-02,6210,,
2016-09-01,5830,,
2016-08-31,6060,,
2016-08-30,5780,,
2016-08-29,5670,,
2016-08-28,5450,,
2016-08-27,5350,,
2016-08-26,5120,,
2016-08-25,5010,,
2016-08-24,5010,,
2016-08-23,4970,,
2016-08-22,5170,,
2016-08-21,5050,,
2016-08-20,4970,,
2016-08-19,5000,,
2016-08-18,4920,,
2016-08-17,4930,,
2016-08-16,4990,,
2016-08-15,5090,,
2016-08-14,5310,,
2016-08-13,5360,,
2016-08-12,5340,,
2016-08-11,5410,,
2016-08-10,5300,,
2016-08-09,5440,,
2016-08-08,5500,,
2016-08-07,5600,,
2016-08-06,5780,,
2016-08-05,5760,,
2016-08-04,5910,,
2016-08-03,5940,,
2016-08-02,6160,,
